vendor,name,kind,status,source,page,observed_on
Lindy,Any MCP Server,mcp_extension,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,Microsoft Outlook,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,GitHub,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,Gmail,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,Google Calendar,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,Google Docs,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,Google Drive,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,Google Sheets,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,HubSpot,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,Notion,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,Salesforce,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,Slack,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,Stripe,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,Telegram,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,YouTube,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,Canva,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,Discord,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,Dropbox,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,Google Meet,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,LinkedIn,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,Mailchimp,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,Microsoft Excel,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,Microsoft Teams,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,QuickBooks,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,Reddit,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,Shopify,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,Telegram Bot,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,TikTok,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,Wordpress.org,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
Lindy,Xero Accounting,directory_entry_may_include_auth_variant,publicly_listed_unqualified,https://www.lindy.ai/integrations?dac5d130_page=1,1,2026-09-08
