family,registered_tools,source,kind
a2a,4,https://github.com/simstudioai/sim/tree/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/tools/a2a,provider_or_utility_family
affinity,70,https://github.com/simstudioai/sim/tree/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/tools/affinity,provider_or_utility_family
agentmail,21,https://github.com/simstudioai/sim/tree/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/tools/agentmail,provider_or_utility_family
agentphone,22,https://github.com/simstudioai/sim/tree/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/tools/agentphone,provider_or_utility_family
agiloft,18,https://github.com/simstudioai/sim/tree/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/tools/agiloft,provider_or_utility_family
ahrefs,23,https://github.com/simstudioai/sim/tree/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/tools/ahrefs,provider_or_utility_family
airtable,10,https://github.com/simstudioai/sim/tree/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/tools/airtable,provider_or_utility_family
airweave,1,https://github.com/simstudioai/sim/tree/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/tools/airweave,provider_or_utility_family
algolia,16,https://github.com/simstudioai/sim/tree/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/tools/algolia,provider_or_utility_family
amplitude,13,https://github.com/simstudioai/sim/tree/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/tools/amplitude,provider_or_utility_family
apify,5,https://github.com/simstudioai/sim/tree/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/tools/apify,provider_or_utility_family
apollo,25,https://github.com/simstudioai/sim/tree/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/tools/apollo,provider_or_utility_family
appconfig,25,https://github.com/simstudioai/sim/tree/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/tools/appconfig,provider_or_utility_family
arxiv,3,https://github.com/simstudioai/sim/tree/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/tools/arxiv,provider_or_utility_family
asana,14,https://github.com/simstudioai/sim/tree/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/tools/asana,provider_or_utility_family
ashby,44,https://github.com/simstudioai/sim/tree/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/tools/ashby,provider_or_utility_family
athena,12,https://github.com/simstudioai/sim/tree/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/tools/athena,provider_or_utility_family
attio,45,https://github.com/simstudioai/sim/tree/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/tools/attio,provider_or_utility_family
azure_data_explorer,14,https://github.com/simstudioai/sim/tree/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/tools/azure_data_explorer,provider_or_utility_family
azure_devops,16,https://github.com/simstudioai/sim/tree/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/tools/azure_devops,provider_or_utility_family
bitbucket,30,https://github.com/simstudioai/sim/tree/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/tools/bitbucket,provider_or_utility_family
box,10,https://github.com/simstudioai/sim/tree/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/tools/box,provider_or_utility_family
box_sign,5,https://github.com/simstudioai/sim/tree/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/tools/box_sign,provider_or_utility_family
brandfetch,2,https://github.com/simstudioai/sim/tree/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/tools/brandfetch,provider_or_utility_family
brex,34,https://github.com/simstudioai/sim/tree/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/tools/brex,provider_or_utility_family
brightdata,8,https://github.com/simstudioai/sim/tree/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/tools/brightdata,provider_or_utility_family
browser_use,1,https://github.com/simstudioai/sim/tree/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/tools/browser_use,provider_or_utility_family
