id,binding,source,kind
airtable,airtableConnectorMeta,https://github.com/simstudioai/sim/blob/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/connectors/registry.ts,knowledge_ingestion_connector
asana,asanaConnectorMeta,https://github.com/simstudioai/sim/blob/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/connectors/registry.ts,knowledge_ingestion_connector
ashby,ashbyConnectorMeta,https://github.com/simstudioai/sim/blob/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/connectors/registry.ts,knowledge_ingestion_connector
azure_devops,azureDevopsConnectorMeta,https://github.com/simstudioai/sim/blob/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/connectors/registry.ts,knowledge_ingestion_connector
bitbucket,bitbucketConnectorMeta,https://github.com/simstudioai/sim/blob/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/connectors/registry.ts,knowledge_ingestion_connector
box,boxConnectorMeta,https://github.com/simstudioai/sim/blob/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/connectors/registry.ts,knowledge_ingestion_connector
circleback,circlebackConnectorMeta,https://github.com/simstudioai/sim/blob/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/connectors/registry.ts,knowledge_ingestion_connector
clickup,clickupConnectorMeta,https://github.com/simstudioai/sim/blob/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/connectors/registry.ts,knowledge_ingestion_connector
confluence,confluenceConnectorMeta,https://github.com/simstudioai/sim/blob/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/connectors/registry.ts,knowledge_ingestion_connector
databricks,databricksConnectorMeta,https://github.com/simstudioai/sim/blob/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/connectors/registry.ts,knowledge_ingestion_connector
discord,discordConnectorMeta,https://github.com/simstudioai/sim/blob/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/connectors/registry.ts,knowledge_ingestion_connector
docusign,docusignConnectorMeta,https://github.com/simstudioai/sim/blob/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/connectors/registry.ts,knowledge_ingestion_connector
dropbox,dropboxConnectorMeta,https://github.com/simstudioai/sim/blob/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/connectors/registry.ts,knowledge_ingestion_connector
fathom,fathomConnectorMeta,https://github.com/simstudioai/sim/blob/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/connectors/registry.ts,knowledge_ingestion_connector
fireflies,firefliesConnectorMeta,https://github.com/simstudioai/sim/blob/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/connectors/registry.ts,knowledge_ingestion_connector
github,githubConnectorMeta,https://github.com/simstudioai/sim/blob/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/connectors/registry.ts,knowledge_ingestion_connector
gitlab,gitlabConnectorMeta,https://github.com/simstudioai/sim/blob/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/connectors/registry.ts,knowledge_ingestion_connector
gmail,gmailConnectorMeta,https://github.com/simstudioai/sim/blob/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/connectors/registry.ts,knowledge_ingestion_connector
gong,gongConnectorMeta,https://github.com/simstudioai/sim/blob/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/connectors/registry.ts,knowledge_ingestion_connector
google_calendar,googleCalendarConnectorMeta,https://github.com/simstudioai/sim/blob/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/connectors/registry.ts,knowledge_ingestion_connector
google_chat,googleChatConnectorMeta,https://github.com/simstudioai/sim/blob/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/connectors/registry.ts,knowledge_ingestion_connector
google_docs,googleDocsConnectorMeta,https://github.com/simstudioai/sim/blob/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/connectors/registry.ts,knowledge_ingestion_connector
google_drive,googleDriveConnectorMeta,https://github.com/simstudioai/sim/blob/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/connectors/registry.ts,knowledge_ingestion_connector
google_forms,googleFormsConnectorMeta,https://github.com/simstudioai/sim/blob/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/connectors/registry.ts,knowledge_ingestion_connector
google_meet,googleMeetConnectorMeta,https://github.com/simstudioai/sim/blob/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/connectors/registry.ts,knowledge_ingestion_connector
google_sheets,googleSheetsConnectorMeta,https://github.com/simstudioai/sim/blob/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/connectors/registry.ts,knowledge_ingestion_connector
google_slides,googleSlidesConnectorMeta,https://github.com/simstudioai/sim/blob/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/connectors/registry.ts,knowledge_ingestion_connector
google_vault,googleVaultConnectorMeta,https://github.com/simstudioai/sim/blob/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/connectors/registry.ts,knowledge_ingestion_connector
grain,grainConnectorMeta,https://github.com/simstudioai/sim/blob/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/connectors/registry.ts,knowledge_ingestion_connector
granola,granolaConnectorMeta,https://github.com/simstudioai/sim/blob/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/connectors/registry.ts,knowledge_ingestion_connector
greenhouse,greenhouseConnectorMeta,https://github.com/simstudioai/sim/blob/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/connectors/registry.ts,knowledge_ingestion_connector
hubspot,hubspotConnectorMeta,https://github.com/simstudioai/sim/blob/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/connectors/registry.ts,knowledge_ingestion_connector
incidentio,incidentioConnectorMeta,https://github.com/simstudioai/sim/blob/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/connectors/registry.ts,knowledge_ingestion_connector
intercom,intercomConnectorMeta,https://github.com/simstudioai/sim/blob/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/connectors/registry.ts,knowledge_ingestion_connector
jira,jiraConnectorMeta,https://github.com/simstudioai/sim/blob/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/connectors/registry.ts,knowledge_ingestion_connector
jsm,jsmConnectorMeta,https://github.com/simstudioai/sim/blob/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/connectors/registry.ts,knowledge_ingestion_connector
linear,linearConnectorMeta,https://github.com/simstudioai/sim/blob/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/connectors/registry.ts,knowledge_ingestion_connector
microsoft_excel,microsoftExcelConnectorMeta,https://github.com/simstudioai/sim/blob/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/connectors/registry.ts,knowledge_ingestion_connector
microsoft_teams,microsoftTeamsConnectorMeta,https://github.com/simstudioai/sim/blob/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/connectors/registry.ts,knowledge_ingestion_connector
mintlify,mintlifyConnectorMeta,https://github.com/simstudioai/sim/blob/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/connectors/registry.ts,knowledge_ingestion_connector
monday,mondayConnectorMeta,https://github.com/simstudioai/sim/blob/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/connectors/registry.ts,knowledge_ingestion_connector
notion,notionConnectorMeta,https://github.com/simstudioai/sim/blob/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/connectors/registry.ts,knowledge_ingestion_connector
obsidian,obsidianConnectorMeta,https://github.com/simstudioai/sim/blob/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/connectors/registry.ts,knowledge_ingestion_connector
onedrive,onedriveConnectorMeta,https://github.com/simstudioai/sim/blob/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/connectors/registry.ts,knowledge_ingestion_connector
outlook,outlookConnectorMeta,https://github.com/simstudioai/sim/blob/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/connectors/registry.ts,knowledge_ingestion_connector
pagerduty,pagerdutyConnectorMeta,https://github.com/simstudioai/sim/blob/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/connectors/registry.ts,knowledge_ingestion_connector
reddit,redditConnectorMeta,https://github.com/simstudioai/sim/blob/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/connectors/registry.ts,knowledge_ingestion_connector
rootly,rootlyConnectorMeta,https://github.com/simstudioai/sim/blob/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/connectors/registry.ts,knowledge_ingestion_connector
s3,s3ConnectorMeta,https://github.com/simstudioai/sim/blob/4dbf0a0db689373faf52f760bc971c81c6b38c67/apps/sim/connectors/registry.ts,knowledge_ingestion_connector
