provider,catalog_endpoints,source,license
akta,12,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
apify,7,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
apollo,8,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
aviato,21,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
branddev,13,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
brightdata,52,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
cloro,11,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
coingecko,11,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
companyenrich,41,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
coresignal,5,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
crunchbase,5,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
crustdata,8,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
dataforseo,217,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
diffbot,22,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
eodhd,3,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
exa,10,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
facebook,32,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
fiber-ai,12,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
findymail,18,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
finnhub,5,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
google-ads,47,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
google-analytics,66,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
google-business-profile,64,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
google-search-console,11,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
google-tag-manager,106,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
hunter,35,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
icypeas,18,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
influencersclub,15,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
instagram,32,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
justoneapi,272,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
leadmagic,22,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
leadsforge,32,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
linkedin,5,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
lusha,31,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
majestic,7,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
marketstack,7,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
meta-ad-library,4,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
meta-ads,37,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
microsoft-ads,4,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
millionverifier,2,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
minimax,7,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
moz,12,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
oceanio,23,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
openrouter,31,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
pdl,22,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
pinterest-ads,6,https://github.com/superdesigndev/treg/tree/7bc16c08196aec7c3a668b5e1b13b70905d989fb/src/treg/catalog,Apache-2.0-with-restrictive-additional-terms
